agent;Battle.Net Agent
bna;Battle.Net App
bts;Bootstrapper
catalogs;Catalog
d3;Retail
d3cn;China
d3t;Test
dst2;Retail
dst2a;Alpha
dst2dev;Dev
dst2e1;Event 1
dst2igr;Game Room
dst2t;Test
hero;Retail
heroc;Tournament
herot;Test
hsb;Retail
hsc;Chournament
pro;Retail
proc;Tournament US
proc_cn;Tournament China
proc_eu;Tournament Europe
proc_kr;Tournament Korea
proc2;Prof US
proc2_cn;Prof China
proc2_eu;Prof Europe
proc2_kr;Prof Korea
proc3;Tournament Dev
procr;Tournament Viewer
prodev;Dev
proms;World Cup
prot;Test
prov;Vendor
s1;Retail
s1t;Test
s2;Retail
w3;Retail
w3t;Test
wow;Retail
wow_beta;Beta
wow_classic;Classic
wow_classic_beta;Classic Beta
wowdemo;Demo
wowdev;Dev
wowe1;Event 1
wowe2;Event 2
wowe3;Event 3
wowt;Test
wowv;Vendor
wowv2;Vendor 2
wowz;Submission
odin;Retail
odindev;Alpha
